timestamp,source_ip,destination_ip,src_port,dst_port,protocol,final_label,confidence,attack_votes,total_models,threshold,vote_k,agg_method,model_probabilities
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,50821,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:22,10.11.163.210,10.11.163.74,64057,53,TCP,ATTACK,0.376281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:22,10.11.163.74,10.11.163.210,53,64057,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:22,10.11.163.210,10.11.163.74,62167,53,UDP,BENIGN,0.237531,2,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 0.0, 'RandomForest': 0.26, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:22,10.11.163.210,10.11.163.74,57161,53,UDP,BENIGN,0.237531,2,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 0.0, 'RandomForest': 0.26, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:22,10.11.163.210,172.64.151.87,59571,443,TCP,BENIGN,0.026455,0,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 0.0, 'RandomForest': 0.17, 'GradientBoosting': 0.001396, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:22,10.11.163.74,10.11.163.210,53,57161,UDP,BENIGN,0.285031,2,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 0.0, 'RandomForest': 0.24, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:22,10.11.163.210,140.82.112.22,59575,443,TCP,BENIGN,0.026455,0,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 0.0, 'RandomForest': 0.17, 'GradientBoosting': 0.001396, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:22,10.11.163.74,10.11.163.210,53,59944,TCP,ATTACK,0.415031,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.28, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:22,10.11.163.210,10.11.163.74,59944,53,TCP,ATTACK,0.365031,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.28, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
